         22296485 function calls (22295808 primitive calls) in 80.078 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/lazyframe/frame.py:6067(gather_every)
       27    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
       29    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/getitem.py:93(_select_elements_by_slice)
      168    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/datatypes/convert.py:68(is_polars_dtype)
    23/11    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
       48    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/six.py:604(iteritems)
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/lazyframe/frame.py:3426(filter)
       48    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/getitem.py:50(get_series_item_by_key)
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/io/cloud/credential_provider/_builder.py:217(_init_credential_provider_builder)
       48    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/series.py:652(__len__)
        1    0.000    0.000    0.001    0.001 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/digital_rf/digital_metadata.py:368(_set_fields)
       24    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/datatypes/convert.py:268(dtype_to_py_type)
       24    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/expr/datetime.py:1605(epoch)
      327    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
       24    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/various.py:223(normalize_filepath)
       48    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/series.py:600(name)
        1    0.000    0.000    0.903    0.903 /home/cuong/drive/code/CSV2DRF/csv2drf.py:44(__init__)
    69/22    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:178(getwidth)
       96    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/datatypes/_parse.py:44(parse_into_dtype)
       48    0.000    0.000    0.000    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/functions/aggregation/vertical.py:11(all)
       24    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/_utils/slice.py:81(apply)
       24    0.000    0.000    0.000    0.000 {any_horizontal}
        1    0.000    0.000    0.001    0.001 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/digital_rf/digital_metadata.py:452(_write_properties)
       29    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       48    0.000    0.000    0.000    0.000 {method 'name' of 'builtins.PySeries' objects}
       48    0.000    0.000    0.001    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/polars/series/series.py:1284(__getitem__)
